,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS,Zone_Chalk,Zone_Jurassic,Zone_Paleocene,Zone_Tertiary
2931,22-12a-10,8054.0,62.5004,8.4455,0.4177,2394.0627,125.6325,2.4198,329.244,0,0,1,0
2932,22-12a-10,8054.5,65.2157,8.3977,0.4061,2462.4478,126.5702,2.3665,341.1886,0,0,1,0
2933,22-12a-10,8055.0,69.6431,8.35,0.3962,2523.9778,126.811,2.3322,353.4452,0,0,1,0
2934,22-12a-10,8055.5,73.9484,8.3431,0.3934,2541.9419,128.1448,2.3229,359.6814,0,0,1,0
2935,22-12a-10,8056.0,74.3933,8.3418,0.394,2538.071,128.2705,2.3404,360.7905,0,0,1,0
2936,22-12a-10,8056.5,73.2991,8.3627,0.396,2525.2524,127.3733,2.432,358.8629,0,0,1,0
2937,22-12a-10,8057.0,68.7327,8.3808,0.4131,2420.7214,125.9216,2.5036,351.1154,0,0,1,0
2938,22-12a-10,8057.5,64.1272,8.3786,0.4117,2428.9531,124.4034,2.5603,341.9945,0,0,1,0
2939,22-12a-10,8058.0,64.4518,8.3814,0.3954,2529.0845,122.8852,2.5344,332.3643,0,0,1,0
2940,22-12a-10,8058.5,67.0657,8.3826,0.4013,2491.9011,122.4196,2.5491,327.2707,0,0,1,0
2941,22-12a-10,8059.0,69.462,8.4009,0.4114,2430.7244,122.4232,2.5758,324.958,0,0,1,0
2942,22-12a-10,8059.5,71.3419,8.422,0.4146,2411.9631,123.4219,2.5559,324.1816,0,0,1,0
2943,22-12a-10,8060.0,75.3859,8.4442,0.4175,2395.2097,124.8672,2.5024,324.7669,0,0,1,0
2944,22-12a-10,8060.5,81.5184,8.4623,0.4226,2366.3037,126.4396,2.4225,324.6312,0,0,1,0
2945,22-12a-10,8061.0,89.2444,8.4103,0.4336,2306.2729,127.9921,2.3867,327.6075,0,0,1,0
2946,22-12a-10,8061.5,94.6922,8.4107,0.441,2267.5737,129.293,2.357,330.0222,0,0,1,0
2947,22-12a-10,8062.0,95.6979,8.4417,0.4298,2326.6636,130.0857,2.3480000000000003,335.9688,0,0,1,0
2948,22-12a-10,8062.5,89.1165,8.4711,0.4112,2431.9067,129.5135,2.3464,338.0323,0,0,1,0
2949,22-12a-10,8063.0,80.4455,8.467,0.3958,2526.5286,128.7962,2.3629,339.6298,0,0,1,0
2950,22-12a-10,8063.5,73.1669,8.4629,0.41,2439.0244,126.4174,2.4283,335.9926,0,0,1,0
2951,22-12a-10,8064.0,69.5056,8.4588,0.4376,2285.1921,124.259,2.49,331.6437,0,0,1,0
2952,22-12a-10,8064.5,68.7165,8.4454,0.4303,2323.96,122.1138,2.5023,325.2532,0,0,1,0
2953,22-12a-10,8065.0,68.7031,8.421,0.4313,2318.5718,121.7875,2.4787,318.8742,0,0,1,0
2954,22-12a-10,8065.5,68.0632,8.4188,0.4428,2258.356,122.8497,2.4418,314.8127,0,0,1,0
2955,22-12a-10,8066.0,66.8041,8.4213,0.443,2257.3364,124.3648,2.428,315.4226,0,0,1,0
2956,22-12a-10,8066.5,64.7155,8.4215,0.4370000000000001,2288.3296,126.5141,2.4288,318.3927,0,0,1,0
2957,22-12a-10,8067.0,63.3058,8.422,0.4349,2299.3792,128.3425,2.4229,321.4454,0,0,1,0
2958,22-12a-10,8067.5,63.4305,8.423,0.4341,2303.6167,128.6277,2.4186,319.38,0,0,1,0
2959,22-12a-10,8068.0,65.3069,8.4229,0.4354,2296.7385,128.6349,2.3944,318.6173,0,0,1,0
2960,22-12a-10,8068.5,67.5557,8.4221,0.4375,2285.7144,128.5388,2.3742,316.6884,0,0,1,0
2961,22-12a-10,8069.0,66.8376,8.4223,0.4429,2257.8459,128.2453,2.3584,315.1892,0,0,1,0
2962,22-12a-10,8069.5,65.398,8.4218,0.4499,2222.7161,127.9519,2.3493,312.0468,0,0,1,0
2963,22-12a-10,8070.0,65.556,8.4211,0.4429,2257.8459,127.0828,2.3465,309.0654,0,0,1,0
2964,22-12a-10,8070.5,68.0386,8.4205,0.4654,2148.6892,126.3976,2.3607,307.44,0,0,1,0
2965,22-12a-10,8071.0,70.9553,8.4198,0.4964,2014.5044,125.2466,2.3806,305.1218,0,0,1,0
2966,22-12a-10,8071.5,71.991,8.4176,0.494,2024.2915,123.6372,2.3968,299.858,0,0,1,0
2967,22-12a-10,8072.0,70.6795,8.4123,0.4845,2063.9836,122.6013,2.4168,294.9034,0,0,1,0
2968,22-12a-10,8072.5,68.2934,8.399,0.4807,2080.2996,122.4095,2.4231,289.0385,0,0,1,0
2969,22-12a-10,8073.0,66.5307,8.3856,0.4879,2049.6003,122.4095,2.421,286.8308,0,0,1,0
2970,22-12a-10,8073.5,64.9913,8.3847,0.5111,1956.5643,122.4095,2.4151,285.6514,0,0,1,0
2971,22-12a-10,8074.0,62.5527,8.3706,0.5063,1975.1136,122.4095,2.4111,286.2549,0,0,1,0
2972,22-12a-10,8074.5,59.9671,8.3064,0.5062,1975.5037,122.4095,2.4168,286.641,0,0,1,0
2973,22-12a-10,8075.0,59.398,8.2979,0.4596,2175.8049,121.9235,2.4131,284.313,0,0,1,0
2974,22-12a-10,8075.5,58.4885,8.2994,0.5075,1970.4434,120.731,2.4187,280.2973,0,0,1,0
2975,22-12a-10,8076.0,57.5855,8.3008,0.5663,1765.8485,120.5854,2.4225,275.2666,0,0,1,0
2976,22-12a-10,8076.5,56.7843,8.3015,0.6217,1608.4929,119.8653,2.4314,271.6635,0,0,1,0
2977,22-12a-10,8077.0,57.7067,8.3014,0.6351,1574.5552,118.8873,2.4279,267.2054,0,0,1,0
2978,22-12a-10,8077.5,58.2804,8.3013,0.6226,1606.1676,117.968,2.4279,262.8265,0,0,1,0
2979,22-12a-10,8078.0,58.5589,8.3012,0.601,1663.8934,117.459,2.4295,259.3502,0,0,1,0
2980,22-12a-10,8078.5,58.5493,8.3012,0.6101,1639.0757,117.2952,2.4225,258.5664,0,0,1,0
2981,22-12a-10,8079.0,58.5987,8.3147,0.6225,1606.4257,117.3098,2.4149,260.4416,0,0,1,0
2982,22-12a-10,8079.5,59.499,8.3387,0.6208,1610.8247,117.3244,2.4142,262.1462,0,0,1,0
2983,22-12a-10,8080.0,60.1081,8.3424,0.5824,1717.0328,117.339,2.4189,263.4797,0,0,1,0
2984,22-12a-10,8080.5,60.9892,8.3419,0.5516,1812.908,116.2429,2.421,262.0905,0,0,1,0
2985,22-12a-10,8081.0,61.1802,8.3414,0.5385,1857.0101,113.7691,2.421,258.7559,0,0,1,0
2986,22-12a-10,8081.5,59.6292,8.3627,0.5859,1706.7759,113.4365,2.421,254.5162,0,0,1,0
2987,22-12a-10,8082.0,57.81800000000001,8.3814,0.6593,1516.7601,113.69,2.4156,252.1637,0,0,1,0
2988,22-12a-10,8082.5,56.1807,8.3414,0.5999,1666.9445,114.7381,2.4082,253.5485,0,0,1,0
2989,22-12a-10,8083.0,57.4406,8.3409,0.5589,1789.2289,116.634,2.3977,261.6936,0,0,1,0
2990,22-12a-10,8083.5,58.6637,8.3408,0.5606,1783.8031,118.5704,2.3967,270.8941,0,0,1,0
2991,22-12a-10,8084.0,60.4764,8.3413,0.5519,1811.9224,120.3463,2.4014,278.4436,0,0,1,0
2992,22-12a-10,8084.5,62.2615,8.3416,0.5642,1772.4211,121.7348,2.4081,279.825,0,0,1,0
2993,22-12a-10,8085.0,63.6776,8.3433,0.5565,1796.9452,121.9159,2.4149,279.5954,0,0,1,0
2994,22-12a-10,8085.5,63.589,8.3814,0.5670000000000001,1763.6685,120.8788,2.4159,276.6226,0,0,1,0
2995,22-12a-10,8086.0,62.2727,8.3817,0.5392,1854.5994,120.1364,2.4104,271.0372,0,0,1,0
2996,22-12a-10,8086.5,59.2398,8.3821,0.5461,1831.1664,119.832,2.4064,264.1448,0,0,1,0
