,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS
12980,22-14b-5,8508.0,71.8747,12.8926,0.3966,2521.4321,121.5379,2.4373,301.1845
12981,22-14b-5,8508.5,65.6242,12.9244,0.4355,2296.2112,118.2561,2.5796,288.7925
12982,22-14b-5,8509.0,58.3756,12.9455,0.5423,1843.9978,116.4234,2.6492,284.2315
12983,22-14b-5,8509.5,57.5837,13.0126,0.6,1666.6666,116.0252,2.4985,279.9647
12984,22-14b-5,8510.0,62.8625,13.0126,0.4835,2068.2522,115.3202,2.4847,280.5483
12985,22-14b-5,8510.5,72.9369,13.0055,0.4886,2046.6639,115.3381,2.4513,278.523
12986,22-14b-5,8511.0,74.6934,12.9879,0.4615,2166.8472,116.2303,2.3985,281.2888
12987,22-14b-5,8511.5,74.1214,12.9773,0.4397,2274.2778,125.4172,2.392,304.4243
12988,22-14b-5,8512.0,69.36399999999999,12.9879,0.4076,2453.3857,128.2992,2.3325,313.2141
12989,22-14b-5,8512.5,68.9353,13.0267,0.3727,2683.123,127.4714,2.3371,315.6909
12990,22-14b-5,8513.0,69.6217,13.3724,0.3854,2594.7068,127.6058,2.5383,321.4240000000001
12991,22-14b-5,8513.5,72.7623,13.0478,0.409,2444.9878,127.4318,2.4079,323.8002
12992,22-14b-5,8514.0,76.5693,13.0302,0.4133,2419.5498,127.668,2.454,321.1058
12993,22-14b-5,8514.5,79.2487,12.9984,0.4301,2325.0408,126.4969,2.4321,312.8661
12994,22-14b-5,8515.0,77.3917,12.9843,0.4443,2250.7314,125.3418,2.4311,312.7671
12995,22-14b-5,8515.5,74.1206,12.9773,0.4538,2203.614,125.2354,2.4112,313.5792
12996,22-14b-5,8516.0,71.9316,12.9632,0.4563,2191.5408,122.8248,2.3585,303.7104
12997,22-14b-5,8516.5,75.953,12.9208,0.4551,2197.3193,121.4871,2.4507,291.5145
12998,22-14b-5,8517.0,72.8057,12.942,0.4904,2039.1517,120.1681,2.5376,282.6144
12999,22-14b-5,8517.5,70.6662,12.8856,0.556,1798.5612,118.0775,2.5734,271.9865
