,,,
,,,
,,,
,,,
Well,Top Paleocene,Top Chalk,Base Chalk
22-15-4,8214,9177,99999
13-22c-30,2100,2877,7997
13-23b-5,0,2752,4750
13-30a-4,0,4045,8980
21-1a-19,4875,7924,13793
21-1a-19y,0,11000,16910
21-1a-19z,0,11100,16005
21-1a-20,5100,8092,13649
21-1b-17,4941,7535,13694
21-3a-7,6245,8405,99999
21_5a-6,9187,10300,99999
21-8-3,6011,9512,13792
21-8-4,7073,8177,99999
21-12-3,5728,6985,8873
21-19-6,7800,8900,11970
21-24-6,5820,6374,6990
22-6a-14Z,2481,2955,3921
22-12a-10,8054,8622,99999
22-14b-5,8508,10128,12550
22-14b-8,8070,10720,13298
22-15-3,8276,99998,99999
22-22b-2,8340,9917,13327
22-23a-7,8700,99998,99999
22-25b-8,3262,99998,99999
22-28a-3,8536,99998,99999
22-29-6,9249,10973,15278
22-30a-14Y,10039,11166,99999
22-30a-14Z,10455,11895,99999
22-23b-5,9151,9923,14438
20-5c-11,3475,7250,11990
20-5d-7,3046,6983,99999
20-6-3,0,3048,7924
20-7a-6,0,3880,8901
20-7b-5,1989,4361,8320
20-9-4,0,4930,6805
