,GR,DT,DRES,DEN,Depth,COND,CAL
33679,58.8239,118.1513,0.6317,2.3609,8276.0,1583.03,12.3771
33680,57.0205,118.1513,0.6402,2.3594,8276.5,1562.0118,12.3779
33681,50.4611,119.0,0.6579,2.3747,8277.0,1519.9879,12.3789
33682,45.0347,119.8319,0.695,2.3853,8277.5,1438.8489,12.3798
33683,42.7805,119.8319,0.7343,2.3884,8278.0,1361.8412,12.3655
33684,41.206,119.8319,0.7865,2.3704,8278.5,1271.4558,12.3515
33685,40.7621,119.6807,0.8196,2.372,8279.0,1220.1074,12.3522
33686,41.0003,118.8739,0.8305,2.3766,8279.5,1204.0939,12.3531
33687,40.5611,118.0672,0.7961,2.3782,8280.0,1256.1235,12.3541
33688,40.1172,117.2605,0.7633,2.3737,8280.5,1310.1008,12.355
33689,40.582,116.4706,0.7524,2.3662,8281.0,1329.0803,12.3559
33690,40.8202,117.0882,0.752,2.3663,8281.5,1329.7872,12.3569
33691,40.6052,117.6933,0.7727,2.3664,8282.0,1294.1633,12.3578
33692,39.0308,118.0205,0.8393,2.3679,8282.5,1191.4691,12.3587
33693,39.0424,117.4827,0.9243,2.3665,8283.0,1081.8998,12.3595
33694,39.5072,116.9449,1.004,2.365,8283.5,996.016,12.3604
33695,39.5188,116.4706,0.9105,2.3576,8284.0,1098.2976,12.3613
33696,39.7547,115.3882,0.8374,2.3561,8284.5,1194.1724,12.3623
33697,40.4461,114.7899,0.8141,2.3608,8285.0,1228.3503,12.3632
33698,41.5906,115.0644,0.7913,2.3654,8285.5,1263.7432,12.3641
33699,43.6415,115.8711,0.7482,2.37,8286.0,1336.5410000000004,12.3497
33700,45.6924,116.7815,0.6881,2.3731,8286.5,1453.2772,12.3355
33701,47.5167,118.1513,0.6416,2.3701,8287.0,1558.6035,12.3365
33702,48.8879,118.1513,0.6066,2.3641,8287.5,1648.5328,12.3374
33703,49.1261,118.1513,0.5816,2.3612,8288.0,1719.3948,12.3383
33704,48.2291,119.9933,0.5977,2.3613,8288.5,1673.0802,12.3392
33705,45.9748,118.1513,0.6492,2.3598,8289.0,1540.3573,12.3403
33706,43.494,117.8527,0.6859,2.3599,8289.5,1457.9385,12.341
