,GR,DT,DRES,DEN,Depth,COND,CAL,Zone_Tertiary,Zone_Paleocene,Zone_Chalk,Zone_Jurassic
2931,62.5004,125.6325,0.4177,2.4198,8054.0,2394.0627,8.4455,0,1,0,0
2932,65.2157,126.5702,0.4061,2.3665,8054.5,2462.4478,8.3977,0,1,0,0
2933,69.6431,126.811,0.3962,2.3322,8055.0,2523.9778,8.35,0,1,0,0
2934,73.9484,128.1448,0.3934,2.3229,8055.5,2541.9419,8.3431,0,1,0,0
2935,74.3933,128.2705,0.394,2.3404,8056.0,2538.071,8.3418,0,1,0,0
2936,73.2991,127.3733,0.396,2.432,8056.5,2525.2524,8.3627,0,1,0,0
2937,68.7327,125.9216,0.4131,2.5036,8057.0,2420.7214,8.3808,0,1,0,0
2938,64.1272,124.4034,0.4117,2.5603,8057.5,2428.9531,8.3786,0,1,0,0
2939,64.4518,122.8852,0.3954,2.5344,8058.0,2529.0845,8.3814,0,1,0,0
2940,67.0657,122.4196,0.4013,2.5491,8058.5,2491.9011,8.3826,0,1,0,0
2941,69.462,122.4232,0.4114,2.5758,8059.0,2430.7244,8.4009,0,1,0,0
2942,71.3419,123.4219,0.4146,2.5559,8059.5,2411.9631,8.422,0,1,0,0
2943,75.3859,124.8672,0.4175,2.5024,8060.0,2395.2097,8.4442,0,1,0,0
2944,81.5184,126.4396,0.4226,2.4225,8060.5,2366.3037,8.4623,0,1,0,0
2945,89.2444,127.9921,0.4336,2.3867,8061.0,2306.2729,8.4103,0,1,0,0
2946,94.6922,129.293,0.441,2.357,8061.5,2267.5737,8.4107,0,1,0,0
2947,95.6979,130.0857,0.4298,2.3480000000000003,8062.0,2326.6636,8.4417,0,1,0,0
2948,89.1165,129.5135,0.4112,2.3464,8062.5,2431.9067,8.4711,0,1,0,0
2949,80.4455,128.7962,0.3958,2.3629,8063.0,2526.5286,8.467,0,1,0,0
2950,73.1669,126.4174,0.41,2.4283,8063.5,2439.0244,8.4629,0,1,0,0
2951,69.5056,124.259,0.4376,2.49,8064.0,2285.1921,8.4588,0,1,0,0
2952,68.7165,122.1138,0.4303,2.5023,8064.5,2323.96,8.4454,0,1,0,0
2953,68.7031,121.7875,0.4313,2.4787,8065.0,2318.5718,8.421,0,1,0,0
2954,68.0632,122.8497,0.4428,2.4418,8065.5,2258.356,8.4188,0,1,0,0
2955,66.8041,124.3648,0.443,2.428,8066.0,2257.3364,8.4213,0,1,0,0
2956,64.7155,126.5141,0.4370000000000001,2.4288,8066.5,2288.3296,8.4215,0,1,0,0
2957,63.3058,128.3425,0.4349,2.4229,8067.0,2299.3792,8.422,0,1,0,0
2958,63.4305,128.6277,0.4341,2.4186,8067.5,2303.6167,8.423,0,1,0,0
2959,65.3069,128.6349,0.4354,2.3944,8068.0,2296.7385,8.4229,0,1,0,0
2960,67.5557,128.5388,0.4375,2.3742,8068.5,2285.7144,8.4221,0,1,0,0
2961,66.8376,128.2453,0.4429,2.3584,8069.0,2257.8459,8.4223,0,1,0,0
2962,65.398,127.9519,0.4499,2.3493,8069.5,2222.7161,8.4218,0,1,0,0
2963,65.556,127.0828,0.4429,2.3465,8070.0,2257.8459,8.4211,0,1,0,0
2964,68.0386,126.3976,0.4654,2.3607,8070.5,2148.6892,8.4205,0,1,0,0
2965,70.9553,125.2466,0.4964,2.3806,8071.0,2014.5044,8.4198,0,1,0,0
2966,71.991,123.6372,0.494,2.3968,8071.5,2024.2915,8.4176,0,1,0,0
2967,70.6795,122.6013,0.4845,2.4168,8072.0,2063.9836,8.4123,0,1,0,0
2968,68.2934,122.4095,0.4807,2.4231,8072.5,2080.2996,8.399,0,1,0,0
2969,66.5307,122.4095,0.4879,2.421,8073.0,2049.6003,8.3856,0,1,0,0
2970,64.9913,122.4095,0.5111,2.4151,8073.5,1956.5643,8.3847,0,1,0,0
2971,62.5527,122.4095,0.5063,2.4111,8074.0,1975.1136,8.3706,0,1,0,0
2972,59.9671,122.4095,0.5062,2.4168,8074.5,1975.5037,8.3064,0,1,0,0
2973,59.398,121.9235,0.4596,2.4131,8075.0,2175.8049,8.2979,0,1,0,0
2974,58.4885,120.731,0.5075,2.4187,8075.5,1970.4434,8.2994,0,1,0,0
2975,57.5855,120.5854,0.5663,2.4225,8076.0,1765.8485,8.3008,0,1,0,0
2976,56.7843,119.8653,0.6217,2.4314,8076.5,1608.4929,8.3015,0,1,0,0
2977,57.7067,118.8873,0.6351,2.4279,8077.0,1574.5552,8.3014,0,1,0,0
2978,58.2804,117.968,0.6226,2.4279,8077.5,1606.1676,8.3013,0,1,0,0
2979,58.5589,117.459,0.601,2.4295,8078.0,1663.8934,8.3012,0,1,0,0
2980,58.5493,117.2952,0.6101,2.4225,8078.5,1639.0757,8.3012,0,1,0,0
2981,58.5987,117.3098,0.6225,2.4149,8079.0,1606.4257,8.3147,0,1,0,0
