,DTS
0,229.49513225806453
1,228.47671875
2,227.4732303030303
3,226.7605205882353
4,226.43881142857143
5,226.47485833333334
6,226.59827837837838
7,226.27072894736844
8,225.41587179487183
9,224.144315
10,222.59727073170734
11,220.97688095238095
12,219.42755581395352
13,217.94905454545457
14,216.5366555555556
15,215.1858152173913
16,213.89240638297872
17,212.65283958333336
18,211.46381836734693
19,210.322306
20,209.22069607843136
21,208.15522307692305
22,207.1260075471698
23,206.13490370370369
24,205.17983272727272
25,204.25886428571428
26,203.370201754386
27,202.51217586206897
28,201.68322881355934
29,200.88170666666667
30,200.10622131147542
31,199.35577741935487
32,198.6295174603175
33,197.92630937500002
34,197.24552615384619
35,196.5862378787879
36,195.93526119402986
37,195.2835882352941
38,194.62784057971015
39,193.97942714285713
40,193.33969154929576
41,192.71275694444444
42,192.12250273972603
43,191.57890405405405
44,191.06792
45,190.59068289473683
46,190.14589870129868
47,189.72278589743587
48,189.31038481012655
49,188.89893999999998
50,188.4866283950617
51,188.0650134146341
52,187.6318626506024
53,187.19763809523806
54,186.75779294117643
55,186.32900697674413
56,185.91488045977005
57,185.51234090909085
58,185.11881011235948
59,184.73398777777768
60,184.35799999999995
61,183.9907097826086
62,183.63701827956982
63,183.2977414893616
64,182.96807684210515
65,182.6459177083332
66,182.32969072164937
67,182.01416530612235
68,181.70017373737363
69,206.5925
70,216.4086
71,224.1858
72,226.5031
73,227.6518
74,228.4042
75,228.5383
76,228.2916
77,228.0451
78,227.7984
79,228.248
80,228.955
81,229.6625
82,230.5577
83,232.0642
84,232.9061
85,234.34
86,236.9586
87,239.3237
88,240.6567
89,241.2319
90,242.7721
91,241.9984
92,240.2541
93,238.3481
94,236.1522
95,232.5754
96,226.9758
97,219.8157
98,212.6451
99,205.4884
100,196.9059
101,195.3616
102,203.2411
103,215.5007
104,227.7365
105,231.0414
106,214.1514
107,192.9313
108,174.5536
109,160.7155
110,154.5409
111,154.3559
112,154.3735
113,154.3911
114,154.398
115,154.3956
116,154.3932
117,154.3908
118,154.3882
119,154.1402
120,153.8161
121,153.6068
122,153.6064
123,153.606
124,153.6056
125,153.6051
126,153.6047
127,153.6043
128,153.5919
129,153.5771
130,153.5787
131,153.6014
132,153.6242
133,153.6754
134,153.7325
135,152.9708
136,151.6215
137,150.037
138,149.2389
139,148.5582
140,148.2004
141,149.6242
142,151.8962
143,153.2551
144,154.7979
145,156.3423
146,157.1431
147,157.1431
148,156.3948
149,155.5017
150,153.9142
151,152.1135
152,151.157
153,149.8108
154,149.8822
155,150.3
156,150.4914
157,150.4881
158,150.4848
159,150.5191
160,150.5673
161,151.0974
162,151.745
163,151.9796
164,152.0408
165,151.9719
166,151.4082
167,150.929
168,149.7407
169,148.433
170,147.1241
171,145.8147
172,145.1034
173,143.136
174,141.9114
175,141.9328
176,142.0145
177,142.7035
178,144.2092
179,145.7117
180,147.0662
181,148.2332
182,149.3075
183,150.1698
184,150.9203
185,151.5972
186,152.3805
187,153.1629
188,153.9494
189,154.7377
190,155.1328
191,155.1525
192,155.0793
193,154.7328
194,153.5059
195,151.6657
196,151.257
197,151.2537
198,151.2504
199,151.8667
200,152.4963
201,153.8625
202,154.9919
203,155.7818
204,156.5643
205,155.6773
206,154.9279
207,154.2677
208,152.6442
209,151.0238
210,149.3967
211,148.5705
212,148.9927
213,149.6688
214,150.4484
215,151.9259
216,152.8636
217,153.4375
218,153.5755
219,153.2189
220,152.417
221,151.6029
222,150.7896
223,150.0128
224,148.9384
225,147.2849
226,145.5813
227,145.3815
228,145.9268
229,146.5333
230,147.1087
231,147.3389
232,147.2392
233,146.6434
234,146.8434
235,147.2152
236,147.7153
237,148.0612
238,148.1101
239,148.4018
240,148.7086
241,150.7811
242,152.3567
243,153.4075
244,154.7046
245,156.3967
246,157.63299999999995
247,158.6355
248,159.6393
249,160.59
250,161.159
251,161.4852
252,162.0926
253,162.7005
254,162.9535
255,162.966
256,162.9785
257,162.6863
258,162.316
259,162.0367
260,161.8077
261,161.6165
262,161.4255
263,161.1901
264,160.6684
265,159.8914
266,159.1393
267,158.4264
268,158.4564
269,159.234
270,160.7684
271,162.0363
272,162.5681
273,162.9915
274,163.5215
275,164.69299999999996
276,164.3323
277,163.5719
278,163.082
279,162.6111
280,162.1396
281,161.8679
282,162.0898
283,162.5913
284,163.065
285,163.5424
286,164.4862
287,165.3685
288,170.9322
289,179.3292
290,187.5629
291,198.1578
292,216.7711
293,203.4082
294,185.6078
295,177.9427
296,170.5368
297,163.138
298,160.1886
299,160.1886
300,160.1886
301,160.1886
302,160.1886
303,160.1896
304,161.233
305,162.6879
306,164.3465
307,167.2652
308,169.9497
309,171.9403
310,172.9972
311,173.19099999999997
312,173.175
313,173.0998
314,173.2547
315,174.4581
316,175.0549
317,175.5325
318,175.9892
319,176.1613
320,176.3253
321,176.3945
322,176.4637
323,176.1
324,174.0663
325,172.16099999999997
326,169.2551
327,166.5865
328,165.0214
329,164.4325
330,163.9188
331,164.6283
332,165.6875
333,166.4427
334,168.4541
335,169.6203
336,169.5995
337,169.5111
338,168.6945
339,168.1572
340,167.6336
341,166.7159
342,165.1276
343,163.5137
344,161.556
345,159.5965
346,158.6473
347,158.6473
348,159.6611
349,161.4244
350,163.7548
351,166.0859
352,167.5686
353,168.0498
354,168.0534
355,168.2285
356,168.4153
357,166.6198
358,165.1735
359,164.9624
360,165.2108
361,165.5126
362,166.5
363,167.2126
364,167.3652
365,167.3012
366,166.6631
367,165.1159
368,163.8073
369,161.808
370,159.8067
371,157.2565
372,155.2609
373,153.2623
374,151.232
375,148.1909
376,146.0337
377,145.21
378,145.0626
379,145.6142
380,146.6457
381,147.6783
382,149.8652
383,152.6626
384,154.9359
385,156.8448
386,158.1496
387,158.3656
388,158.5819
389,158.7978
390,158.998
391,159.1346
392,159.2331
393,160.4551
394,161.6747
395,162.7962
396,163.2875
397,163.4153
398,163.5433
399,163.6712
400,163.8005
401,164.3356
402,165.4178
403,166.5453
404,167.7594
405,168.0948
406,167.2958
407,165.6973
408,164.5132
409,163.3316
410,162.1487
411,161.5099
412,161.1494
413,160.9845
414,161.4378
415,162.6758
416,163.9143
417,165.1517
418,167.46400000000003
419,170.4945
420,173.4721
421,175.1259
422,176.2374
423,176.4094
424,176.8384
425,177.2679
426,175.5614
427,174.2773
428,173.6206
429,171.0786
430,167.8661
431,164.50799999999995
432,162.4596
433,160.4084
434,158.5707
435,157.9781
436,157.3854
437,157.1185
438,157.1037
439,157.0889
440,157.1184
441,157.4354
442,157.6045
443,157.8902
444,158.3942
445,159.0043
446,159.4728
447,159.741
448,159.9165
449,160.1105
450,160.3125
451,160.5266
452,160.9695
453,161.2187
454,161.3417
455,161.5795
456,161.8174
457,162.5771
458,163.6496
459,164.7199
460,165.7144
461,167.7355
462,168.6136
463,168.765
464,168.9096
465,168.9523
466,169.1563
467,169.6203
468,169.6469
469,169.5524
470,169.2439
471,167.6562
472,165.9784
473,165.1828
474,164.7768
475,164.6269
476,165.1634
477,166.1268
478,167.4628
479,168.9413
480,169.7293
481,171.3662
482,172.6733
483,173.7951
484,175.03799999999995
485,175.3326
486,175.622
487,175.8844
488,176.1469
489,176.1377
490,175.1498
491,174.1617
492,173.5506
493,172.6653
494,171.7568
495,170.8135
496,170.55599999999995
497,170.5174
498,170.4789
499,170.4403
500,170.592
501,170.8612
502,171.6217
503,172.7199
504,175.3742
505,177.3699
506,179.9487
507,180.1127
508,178.9064
509,176.6315
510,175.06599999999997
511,174.1793
512,173.3333
513,173.7426
514,173.4334
515,172.5695
516,172.9325
517,173.467
518,171.5988
519,171.35299999999995
520,170.52900000000002
521,169.983
522,169.4712
523,168.9688
524,168.1545
525,164.4298
526,154.0738
527,141.4427
528,129.0385
529,120.0625
530,115.5655
531,114.4132
532,114.1389
533,115.4626
534,116.4682
535,117.7019
536,118.9489
537,119.5215
538,120.0465
539,120.135
540,120.3755
541,120.5773
542,120.3228
543,120.075
544,120.3251
545,120.5752
546,120.9844
547,122.0783
548,122.1429
549,122.5814
550,122.9786
551,123.0068
552,123.3859
553,123.7656
554,124.1444
555,123.4842
556,120.8409
557,119.223
558,119.3917
559,121.4179
560,124.198
561,124.7384
562,124.7924
563,123.9801
564,123.0489
565,122.7595
566,125.5704
567,129.1178
568,132.1009
569,134.349
570,136.4843
571,137.8522
572,138.4666
573,138.6119
574,138.6655
575,138.6483
576,138.6303
577,138.9429
578,140.0867
579,141.2283
580,142.3656
581,143.4357
582,145.3801
583,148.2547
584,148.6404
585,148.5434
586,148.4464
587,148.3494
588,148.2523
589,148.1627
590,147.9523
591,147.6127
592,147.2056
593,146.0752
594,144.7351
595,144.1348
596,143.5271
597,143.8247
598,144.648
599,145.4957
600,146.1399
601,146.4903
602,146.4403
603,145.9815
604,144.8458
605,143.5615
606,143.635
607,144.11
608,144.7289
609,149.1005
610,154.5222
611,163.49200000000005
612,171.1733
613,187.5683
614,194.4477
615,178.85299999999995
616,177.0104
617,179.1496
618,185.0797
619,175.5744
620,158.9468
621,148.5197
622,139.3772
623,133.5333
624,133.4081
625,133.8697
626,134.384
627,134.6818
628,134.7868
629,136.9594
630,139.0905
631,140.0413
632,140.8443
633,141.6301
634,142.4054
635,143.308
636,144.6496
637,145.8431
638,147.3099
639,148.3603
640,149.3845
641,149.6953
642,149.6986
643,149.7019
644,148.9603
645,147.9065
646,147.2139
647,146.5968
648,145.9792
649,145.7794
650,145.7417
651,145.7404
652,145.7222
653,145.5826
654,145.0654
655,145.3524
656,146.2485
657,145.2978
658,144.8888
659,144.7464
660,144.4655
661,144.1846
662,144.1174
663,144.2204
664,144.1791
665,144.1613
666,144.0725
667,143.799
668,143.484
669,143.4546
670,143.5103
671,143.8858
672,144.1067
673,144.1846
674,146.6363
675,149.8317
676,153.4881
677,156.8682
678,158.8582
679,160.3419
680,161.6419
681,161.3039
682,160.9662
683,160.628
684,160.3287
685,160.30100000000004
686,160.4213
687,160.5415
688,160.9413
689,160.8966
690,160.5013
691,160.1057
692,159.7106
693,159.3149
694,158.92
695,158.6381
696,158.9763
697,166.6688
698,201.7492
699,280.3128
700,297.0598
701,300.1269
702,300.1244
703,300.1219
704,300.1194
705,300.2492
706,300.3992
707,300.5490000000001
708,300.6989
709,299.7146
710,298.05
711,293.4109
712,288.266
713,282.072
714,273.4191
715,270.0566
716,267.9582
717,267.197
718,266.0609
719,248.3595
720,229.3084
721,210.2491
722,193.4112
723,191.6231
724,190.592
725,189.9692
726,188.4727
727,187.3399
728,186.788
729,186.3451
730,185.9018
731,185.756
732,185.7522
733,185.8352
734,186.9846
735,188.4933
736,191.7098
737,194.9107
738,199.1455
739,204.1681
740,215.8936
741,227.7241
742,237.5069
743,247.9013
744,248.4196
745,228.5618
746,221.7632
747,216.8647
748,208.8302
749,208.0824
750,208.2195
751,208.5323
752,208.8447
753,208.894
754,208.8921
755,208.9138
756,209.061
757,209.208
758,209.724
759,210.1362
760,212.1204
761,217.9642
762,227.1488
763,240.7095
764,258.2823
765,276.2894
766,282.2166
767,289.5351
768,293.4689
769,296.3709
770,296.2311
771,295.6954
772,294.7668
773,293.8376
774,293.7237
775,293.313
776,292.5704
777,292.0133
778,292.8965
779,294.5957
780,296.3035
781,296.3021
782,293.3583
783,287.453
784,285.1704
785,283.0816
786,281.4579
787,279.2485
788,272.5567
789,259.509
790,246.3711
791,233.2308
792,228.257
793,230.2513
794,237.1178
795,226.3632
796,220.7044
797,216.8901
798,212.064
799,211.071
800,211.4666
801,211.8624
802,212.1543
803,211.1065
804,207.0104
805,202.7171
806,201.4971
807,210.6105
808,221.1111
809,226.7613
810,226.4609
811,222.99400000000003
812,221.1263
813,220.6454
814,223.6825
815,228.8784
816,229.9501
817,229.7438
818,229.7998
819,228.5306
820,227.2614
821,226.584
822,225.8564
823,225.3723
824,224.4169
825,224.9277
826,225.7442
827,226.8914
828,228.0573
829,229.2746
830,229.9693
831,230.0064
832,230.0067
833,229.9954
834,229.8812
835,229.5896
836,229.2326
837,229.8454
838,230.4708
839,230.3897
840,229.8388
841,228.7057
842,226.7819
843,224.9592
844,223.436
845,221.4913
846,219.6745
847,216.7826
848,213.6759
849,209.9065
850,206.1335
851,202.3586
852,198.5874
853,196.1261
854,196.1261
855,197.6088
856,199.1969
857,200.7834
858,202.5421
859,204.8023
860,207.1556
861,209.3763
862,211.35
863,213.549
864,214.9816
865,215.2101
866,215.7013
867,215.8577
868,214.5585
869,213.1539
870,211.748
871,210.5197
872,210.0992
873,210.0527
874,210.0509
875,210.0338
876,210.4819
877,210.8916
878,211.1035
879,211.1882
880,211.1668
881,210.7256
882,210.2847
883,210.0321
884,210.7581
885,211.1848
886,211.8819
887,212.8098
888,213.594
889,213.706
890,213.7417
891,213.4877
892,212.6456
893,211.4884
894,210.9948
895,210.4568
896,210.5752
897,211.1802
898,211.7633
899,212.6822
900,214.0312
901,215.3291
902,216.8553
903,218.0326
904,219.7566
905,221.6803
906,222.6895
907,223.457
908,225.0905
909,226.3383
910,226.8151
911,226.3901
912,224.9823
913,222.9947
914,222.65
915,222.96400000000003
916,223.4217
917,223.9513
918,224.4052
919,224.3003
920,223.8972
921,221.6479
922,219.3076
923,216.3757
924,213.4809
925,209.8667
926,206.7719
927,204.6674
928,202.5598
929,200.4563
930,198.4722
931,198.4723
932,198.7578
933,199.4556
934,200.152
935,200.7664
936,200.7664
937,200.7657
938,200.3862
939,200.0076
940,199.6286
941,199.2583
942,199.2546
943,199.3677
944,199.5422
945,199.6669
946,199.0531
947,198.4399
948,198.3019
949,198.4889
950,199.0963
951,199.704
952,200.3033
953,200.5027
954,200.7016
955,201.1215
956,201.6871
957,202.0994
958,202.1903
959,202.3148
960,202.7524
961,203.1925
962,203.5779
963,203.7627
964,204.6465
965,205.7995
966,206.8767
967,207.2773
968,206.9667
969,205.949
970,204.9298
971,204.4178
972,204.6083
973,206.2113
974,208.9598
975,212.7062
976,215.4163
977,217.3866
978,219.0456
979,219.1458
980,219.2462
981,219.0779
982,218.0805
983,215.9466
984,213.2433
985,211.3523
986,209.6647
987,208.2864
988,207.2451
989,206.4593
990,205.6728
991,205.3851
992,206.1217
993,207.118
994,208.0894
995,208.4383
996,208.7222
997,208.8105
998,209.1464
999,209.4972
1000,209.877
1001,210.4832
1002,211.7326
1003,213.626
1004,215.3934
1005,217.06
1006,218.3254
1007,219.4322
1008,220.6763
1009,221.9079
1010,223.2388
1011,225.0303
1012,226.6264
1013,227.3211
1014,227.261
1015,227.1453
1016,227.0799
1017,227.3141
1018,227.522
1019,226.2918
1020,224.6735
1021,222.6052
1022,219.5386
1023,217.3772
1024,215.6914
1025,214.4724
1026,213.3414
1027,212.7712
1028,212.902
1029,213.0325
1030,213.17
1031,213.4374
1032,213.4592
1033,213.4798
1034,213.2658
1035,212.6248
1036,211.8496
1037,209.2282
1038,206.6055
1039,209.1741
1040,208.1208
1041,208.3601
1042,208.7969
1043,210.5582
1044,211.9593
1045,213.5642
1046,214.5992
1047,215.3926
1048,216.2413
1049,216.8784
1050,217.4555
1051,218.0325
1052,218.131
1053,218.0065
1054,217.4806
1055,216.5653
