,DTS
33679,265.7549
33680,266.9021
33681,269.2523
33682,270.4107
33683,269.7421
33684,267.8819
33685,266.0327
33686,264.7739
33687,264.1165
33688,263.4593
33689,262.8019
33690,261.5431
33691,260.2843
33692,257.8337
33693,253.5673
33694,249.3009
33695,243.2302
33696,239.5653
33697,240.7125
33698,244.3115
33699,253.8452
33700,262.8119
33701,268.7711
33702,270.5309
33703,269.8625
33704,266.7991
33705,264.95
33706,261.2852
33707,257.6204
33708,253.9555
33709,250.2907
33710,245.4228
33711,241.758
33712,240.5103
33713,240.4546
33714,239.7972
33715,239.7414
33716,239.6857
33717,239.6298
33718,239.5852
33719,245.5444
33720,249.0975
33721,252.0493
33722,251.9935
33723,250.1331
33724,249.4759
33725,248.2282
33726,246.9694
33727,246.3232
33728,247.4795
33729,248.6198
33730,248.5703
33731,248.5209
33732,247.2782
33733,247.2301
33734,246.5781
33735,248.3331
33736,250.6897
33737,254.2494
33738,256.606
33739,258.371
33740,256.517
33741,249.8512
33742,243.1852
33743,239.5267
33744,239.4774
33745,238.8264
33746,236.371
33747,232.1111
33748,227.2596
33749,222.9996
33750,222.3486
33751,222.2993
33752,224.0544
33753,225.2179
33754,225.7699
33755,226.9236
33756,227.4856
33757,227.4262
33758,227.9882
33759,226.726
33760,220.6615
33761,214.5971
33762,210.3371
33763,208.4931
33764,205.4362
33765,202.9808
33766,201.1268
33767,199.2729
33768,198.0205
33769,199.18400000000003
33770,199.7361
33771,199.6867
33772,198.4343
33773,196.5804
33774,194.1249
33775,192.2711
33776,191.6201
33777,190.9692
33778,191.5312
33779,192.6848
33780,193.2467
33781,191.9845
33782,191.3336
33783,193.0887
33784,196.0468
33785,199.0049
33786,200.7699
33787,203.1265
33788,204.2801
33789,205.4436
33790,205.9957
33791,206.5478
33792,207.6916
33793,208.2534
33794,207.6026
33795,206.3501
33796,205.0977
33797,204.4567
33798,205.0089
33799,203.1451
33800,201.2911
33801,202.4546
33802,202.4052
33803,201.7542
33804,200.5019
33805,199.851
33806,198.5985
33807,198.5492
33808,199.1112
33809,200.8662
33810,203.2228
33811,205.5795
33812,204.327
33813,202.4731
33814,200.0276
33815,205.9833
33816,213.7534
33817,219.1275
33818,221.49400000000003
33819,219.6302
33820,216.5732
33821,214.1179
33822,211.6624
33823,209.8085
33824,207.3531
33825,205.5091
33826,204.8581
33827,204.2072
33828,202.4671
33829,200.4991
33830,199.848
33831,199.7984
33832,199.1572
33833,197.9046
33834,194.8476
33835,189.3844
33836,185.1243
33837,184.4733
33838,183.8222
33839,182.5795
33840,181.3269
33841,180.0744
33842,179.4233
33843,180.5767
33844,185.3392
33845,188.9251
33846,190.6734
33847,190.6139
33848,189.9628
33849,188.7102
33850,187.4576
33851,186.2051
33852,184.9624
33853,183.7098
33854,183.0587
33855,183.0092
33856,183.5711
33857,182.91
33858,182.259
33859,181.0163
33860,180.9667
33861,180.3156
33862,180.2661
33863,180.818
33864,181.9714
33865,183.1347
33866,184.2981
33867,185.4515
33868,185.392
33869,184.741
33870,182.8869
33871,181.6343
33872,180.9931
33873,183.3495
33874,184.5129
33875,183.8519
33876,183.2009
33877,182.5498
33878,180.6957
33879,178.8416
33880,176.9974
33881,174.5419
33882,173.9007
33883,178.6532
33884,179.8165
33885,180.9601
33886,182.7307
33887,185.6828
33888,186.8462
33889,186.1852
33890,183.1281
33891,179.4696
33892,178.2169
33893,178.7788
33894,181.1352
33895,185.8977
33896,190.0587
33897,193.0166
33898,193.5784
33899,191.7144
33900,189.8703
33901,188.0162
33902,186.7637
33903,186.1125
33904,186.6744
33905,188.4293
33906,187.7683
33907,187.1272
33908,186.4761
33909,187.028
33910,188.7829
33911,191.1493
33912,194.0974
33913,195.8523
33914,197.0156
33915,196.3645
33916,193.909
33917,190.8519
33918,189.5992
33919,190.1611
33920,193.7438
33921,199.6861
33922,202.644
33923,203.8073
33924,203.7478
33925,202.4952
33926,200.6412
33927,198.797
33928,196.1453
33929,193.8953
33930,192.0474
33931,188.9965
33932,187.1573
33933,185.9109
33934,188.2736
33935,190.6362
33936,191.203
33937,190.5495
33938,189.9046
33939,190.4801
33940,194.6385
33941,201.2117
33942,205.3788
33943,208.3429
33944,208.9097
33945,208.8662
33946,207.62
33947,206.9751
33948,207.5333
33949,210.4974
33950,212.86
33951,213.4268
33952,213.3835
33953,216.3476
33954,220.5147
33955,224.6819
33956,227.646
33957,231.2117
33958,234.1759
33959,235.9457
33960,238.3083
33961,239.5639
33962,239.7913
33963,240.0188
33964,240.2462
33965,240.5003
33966,241.0671
33967,243.4211
33968,246.3938
33969,249.358
33970,248.7131
33971,247.4667
33972,245.6189
33973,243.1694
33974,240.1185
33975,237.0763
33976,234.0255
33977,231.576
33978,234.5402
33979,241.1134
33980,247.085
33981,250.6593
33982,250.6159
33983,247.5651
33984,243.3112
33985,237.8542
33986,232.3974
33987,226.9404
33988,221.4835
33989,217.2383
33990,211.7814
33991,208.129
33992,205.6796
33993,204.4332
33994,204.3898
33995,204.3549
33996,204.9132
33997,204.8699
33998,204.8265
33999,204.1816
34000,202.3337
34001,198.6813
34002,196.2406
34003,193.7912
34004,192.5449
34005,191.2985
34006,190.052
34007,191.2204
34008,194.1758
34009,197.7502
34010,204.3233
34011,210.8964
34012,215.6651
34013,216.8335
34014,219.1874
34015,222.1515
34016,225.7259
34017,229.893
34018,231.0613
34019,230.4078
34020,230.3644
34021,230.321
34022,230.8878
34023,232.0475
34024,234.4101
34025,237.3742
34026,239.144
34027,240.4558
34028,242.6172
34029,245.0363
34030,243.7962
34031,241.9547
34032,239.5117
34033,237.076
34034,233.43
34035,230.3854
34036,228.5438
34037,227.9053
34038,227.2668
34039,226.0268
34040,225.9971
34041,231.3737
34042,239.7577
34043,245.1341
34044,250.5107
34045,253.4812
34046,255.2561
34047,257.0161
34048,256.9865
34049,256.9495
34050,257.5214
34051,258.0858
34052,258.6503
34053,258.6058
34054,259.1778
34055,261.5393
34056,263.3142
34057,263.8861
34058,263.8417
34059,263.2032
34060,261.3616
34061,259.5201
34062,258.28
34063,256.4385
34064,254.6043
34065,250.3568
34066,244.9063
34067,238.8542
34068,238.8172
34069,242.3891
34070,246.5626
34071,248.9317
34072,250.1124
34073,251.8799
34074,253.0459
34075,253.6104
34076,253.5659
34077,254.1378
34078,254.0934
34079,254.0564
34080,254.0267
34081,252.7867
34082,251.5467
34083,249.1036
34084,245.4575
34085,242.413
34086,241.173
34087,240.5344
34088,240.5048
34089,240.4678
34090,239.8366
34091,240.9952
34092,247.5748
34093,252.9513
34094,255.3277
34095,253.4787
34096,252.246
34097,250.4045
34098,248.563
34099,245.5185
34100,244.8799
34101,246.6474
34102,248.4223
34103,250.1897
34104,251.9573
34105,253.1307
34106,253.0862
34107,251.2447
34108,250.6061
34109,249.9676
34110,249.9306
34111,249.8935
34112,249.2624
34113,248.0224
34114,247.9854
34115,247.3468
34116,246.7083
34117,247.2802
34118,247.2357
34119,247.206
34120,247.778
34121,247.1321
34122,247.095
34123,246.4565
34124,245.818
34125,245.7809
34126,245.7439
34127,245.7142
34128,246.1985
34129,246.6828
34130,247.3805
34131,248.5341
34132,249.6876
34133,251.4428
34134,251.9949
34135,251.9454
34136,251.8961
34137,251.8467
34138,250.5942
34139,249.3419
