,DTS
2931,329.244
2932,341.1886
2933,353.4452
2934,359.6814
2935,360.7905
2936,358.8629
2937,351.1154
2938,341.9945
2939,332.3643
2940,327.2707
2941,324.958
2942,324.1816
2943,324.7669
2944,324.6312
2945,327.6075
2946,330.0222
2947,335.9688
2948,338.0323
2949,339.6298
2950,335.9926
2951,331.6437
2952,325.2532
2953,318.8742
2954,314.8127
2955,315.4226
2956,318.3927
2957,321.4454
2958,319.38
2959,318.6173
2960,316.6884
2961,315.1892
2962,312.0468
2963,309.0654
2964,307.44
2965,305.1218
2966,299.858
2967,294.9034
2968,289.0385
2969,286.8308
2970,285.6514
2971,286.2549
2972,286.641
2973,284.313
2974,280.2973
2975,275.2666
2976,271.6635
2977,267.2054
2978,262.8265
2979,259.3502
2980,258.5664
2981,260.4416
2982,262.1462
2983,263.4797
2984,262.0905
2985,258.7559
2986,254.5162
2987,252.1637
2988,253.5485
2989,261.6936
2990,270.8941
2991,278.4436
2992,279.825
2993,279.5954
2994,276.6226
2995,271.0372
2996,264.1448
2997,258.1551
2998,254.1422
2999,251.5798
3000,251.9468
3001,253.0489
3002,255.5886
3003,256.5351
3004,257.1438
3005,256.3811
3006,253.5495
3007,250.9864
3008,247.854
3009,244.7757
3010,241.775
3011,241.3767
3012,243.4671
3013,246.7503
3014,248.131
3015,250.6005
3016,253.6367
3017,255.5646
3018,255.8263
3019,254.7264
3020,254.278
3021,251.327
3022,247.0485
3023,241.8987
3024,238.2635
3025,235.8002
3026,234.7192
3027,236.6646
3028,240.0938
3029,245.3899
3030,251.1836
3031,256.5376
3032,259.5441
3033,260.1887
3034,259.5723
3035,258.3155
3036,256.8018
3037,255.683
3038,254.7221
3039,252.7869
3040,250.4812
3041,247.6814
3042,245.2283
3043,241.0283
3044,237.7741
3045,237.1769
3046,239.563
3047,243.0705
3048,245.456
3049,248.0475
3050,250.0955
3051,250.5978
3052,249.8764
3053,248.1912
3054,246.9884
3055,246.4021
3056,246.4837
3057,247.1451
3058,247.2208
3059,246.9653
3060,246.1565
3061,245.2083
3062,242.4424
3063,238.4093
3064,233.3796
3065,229.4435
3066,226.8569
3067,225.4558
3068,225.5465
3069,225.9082
3070,226.7872
3071,228.3575
3072,230.6862
3073,232.7984
3074,233.543
3075,233.5708
3076,233.1895
3077,232.5022
3078,231.0012
3079,227.3473
3080,223.4703
3081,218.9737
3082,215.9145
3083,213.3851
3084,212.6668
3085,213.5568
3086,216.0337
3087,219.6715
3088,223.0645
3089,226.4746
3090,227.6325
3091,227.8017
3092,225.6003
3093,223.7182
3094,222.4094
3095,222.5395
3096,223.9429
3097,225.9725
3098,227.5318
3099,227.6608
3100,225.5972
3101,223.0927
3102,220.5722
3103,217.186
3104,212.9378
3105,208.7925
3106,206.604
3107,206.1822
3108,207.41
3109,210.3601
3110,214.477
3111,217.886
3112,219.9265
3113,220.0824
3114,218.4618
3115,216.0602
3116,213.9162
3117,213.7037
3118,214.1399
3119,214.2079
3120,213.4047
3121,213.4229
3122,213.7393
3123,213.4192
3124,212.2214
3125,210.9104
3126,210.4325
3127,209.8736
3128,209.6944
3129,209.741
3130,210.3332
3131,211.116
3132,211.9347
3133,211.8928
3134,210.6038
3135,207.8634
3136,205.2303
3137,201.9102
3138,199.6928
3139,198.1386
3140,198.6161
3141,200.0488
3142,201.2911
3143,201.9196
3144,201.5059
3145,198.3291
3146,192.0956
3147,185.8465
3148,182.4337
3149,182.5102
3150,185.3588
3151,188.78
3152,192.2153
3153,193.9763
3154,197.0756
3155,199.949
3156,202.2601
3157,202.9216
3158,203.8233
3159,205.1129
3160,206.2067
3161,207.0009
3162,206.9969
3163,206.5352
3164,206.0829
3165,205.9391
3166,206.1938
3167,206.7019
3168,206.8644
3169,206.8962
3170,206.0863
3171,204.2886
3172,202.4252
3173,201.3362
3174,201.7597
3175,203.3746
3176,205.3262
3177,207.5249
3178,208.8904
3179,208.9912
3180,208.0275
3181,205.1253
3182,202.1636
3183,199.4064
3184,198.3031
3185,197.9236
3186,197.688
3187,197.4289
3188,195.8843
3189,194.2575
3190,192.4401
3191,191.2115
3192,190.3029
3193,189.7711
3194,189.8246
3195,189.189
3196,187.8312
3197,185.9672
3198,183.9521
3199,182.0278
3200,181.0929
3201,180.9349
3202,181.4626
3203,181.6215
3204,182.5506
3205,184.0209
3206,185.3198
3207,185.5776
3208,185.2634
3209,185.4699
3210,186.4724
3211,186.5925
3212,186.4374
3213,185.4443
3214,185.0794
3215,184.1176
3216,183.3338
3217,182.4497
3218,181.998
3219,181.352
3220,180.9145
3221,180.2686
3222,179.9972
3223,179.9871
3224,180.4659
3225,181.1182
3226,181.4727
3227,181.6281
3228,182.0589
3229,182.8303
3230,183.7293
3231,184.092
3232,185.5255
3233,187.5579
3234,190.3862
3235,192.6913
3236,194.4767
3237,195.4209
3238,194.6189
3239,193.112
3240,190.4968
3241,188.6577
3242,187.2612
3243,187.0842
3244,186.4919
3245,185.9457
3246,185.4437
3247,185.4232
3248,186.3391
3249,188.1282
3250,190.1804
3251,192.1915
3252,195.895
3253,199.9137
3254,205.7584
3255,210.6741
3256,216.0813
3257,220.0022
3258,222.3685
3259,223.9665
3260,224.499
3261,224.3854
3262,223.5261
3263,221.7714
3264,220.3993
3265,218.7164
3266,217.1103
3267,214.291
3268,212.2815
3269,212.3781
3270,215.4865
3271,221.0465
3272,226.4874
3273,230.509
3274,232.0777
3275,232.0826
3276,231.7232
3277,231.4963
3278,231.4086
3279,232.6609
3280,233.9093
3281,235.6528
3282,236.9246
3283,239.3141
3284,241.7072
3285,243.8979
3286,246.1421
3287,248.8613
3288,251.8655
3289,254.0405
3290,257.874
3291,261.5028
3292,265.0259
3293,265.8522
3294,265.2416
3295,263.8045
3296,259.252
3297,253.6472
3298,248.196
3299,244.95
3300,241.5895
3301,238.5097
3302,235.749
3303,234.7372
3304,234.3793
3305,234.9966
3306,236.8334
3307,240.1652
3308,243.8664
3309,246.5636
3310,247.4432
3311,247.1969
3312,245.914
3313,242.8552
3314,239.8851
3315,236.7774
3316,234.6269
3317,233.2484
3318,232.9346
3319,233.3257
3320,233.6071
3321,235.9012
3322,238.985
3323,242.3712
3324,244.8376
3325,247.5114
3326,250.8194
3327,253.6118
3328,255.0453
3329,255.243
3330,255.1146
3331,255.2787
3332,256.4648
3333,258.453
3334,260.4322
3335,260.5518
3336,259.2839
3337,257.1969
3338,253.9456
3339,250.164
3340,246.7442
3341,244.7254
3342,242.7515
3343,240.2098
3344,237.359
3345,234.8067
3346,232.6779
3347,230.8006
3348,228.6589
3349,226.8535
3350,227.6295
3351,229.731
3352,233.3508
3353,237.5182
3354,241.9651
3355,246.5047
3356,249.5684
3357,251.6999
3358,252.3951
3359,250.4094
3360,248.5218
3361,246.4892
3362,245.7507
3363,244.7301
3364,243.7153
3365,241.9402
3366,239.8082
3367,237.3286
3368,235.6317
3369,234.9025
3370,234.3588
3371,234.7675
3372,235.5199
3373,237.4613
3374,239.0445
3375,240.7727
3376,241.9465
3377,243.0415
3378,243.2218
3379,242.1664
3380,239.3294
3381,235.9343
3382,233.1452
3383,231.9309
3384,231.5298
3385,231.6019
3386,231.6936
3387,231.5724
3388,230.9651
3389,229.899
3390,227.0218
3391,224.445
3392,222.0429
3393,221.4999
3394,220.93400000000003
3395,220.4094
3396,218.7594
3397,216.7059
3398,214.8683
3399,214.0607
3400,213.7835
3401,213.4469
3402,213.2921
3403,213.0607
3404,212.9283
3405,212.1279
3406,211.4715
3407,210.8233
3408,211.5778
3409,213.9319
3410,217.7726
3411,220.8735
3412,219.9268
3413,216.5709
3414,212.2529
3415,205.5325
3416,192.14
3417,182.2663
3418,179.1045
3419,183.3091
3420,185.5536
3421,185.7338
3422,185.3719
3423,183.1437
3424,180.8496
3425,179.3472
3426,178.7464
3427,179.5516
3428,182.0542
3429,185.2414
3430,189.514
3431,192.3491
3432,194.7845
3433,194.6694
3434,190.8958
3435,184.49
3436,177.0152
3437,172.5814
3438,170.2271
3439,170.0838
3440,170.7072
3441,172.2591
3442,173.7183
3443,177.7144
3444,181.7335
3445,185.1011
3446,185.9652
3447,186.8291
3448,187.7372
3449,188.493
